DateTime_UTC,WaterPres_kPa,AirPres_kPa,WaterTemp_C,water_density_kgm3,stage_m,NHC_discharge_m3s
2023-09-02T12:45:00Z,110.383,101.113,20.92,998.0394328888561,1.1552804399999996,1.9723062237185056
2023-09-02T13:00:00Z,110.369,101.099,20.9,998.0437481984859,1.1552804399999996,1.9723062237185056
2023-09-02T13:15:00Z,110.369,101.107,20.88,998.0480593781109,1.154464664,1.9652264947809717
2023-09-02T13:30:00Z,110.369,101.103,20.88,998.0480593781109,1.1548725520000005,1.9687638020086773
2023-09-02T13:45:00Z,110.369,101.089,20.86,998.0523664260066,1.15630016,1.9811846905155452
2023-09-02T14:00:00Z,110.358,101.098,20.86,998.0523664260066,1.1542607200000006,1.9634597573536736
2023-09-02T14:15:00Z,110.358,101.097,20.86,998.0523664260066,1.154362692000001,1.964342966457763
2023-09-02T14:30:00Z,110.336,101.081,20.86,998.0523664260066,1.1537508599999995,1.9590484970705735
2023-09-02T14:45:00Z,110.336,101.107,20.86,998.0523664260066,1.151099588,1.9362381329936316
2023-09-02T15:00:00Z,110.326,101.067,20.86,998.0523664260066,1.154158748,1.9625768673815651
2023-09-02T15:15:00Z,110.315,101.055,20.88,998.0480593781109,1.154260719999999,1.96345975735366
2023-09-02T15:30:00Z,110.293,101.035,20.88,998.0480593781109,1.154056776000001,1.9616942964543203
2023-09-02T15:45:00Z,110.272,101.028,20.9,998.0437481984859,1.152629168,1.949371754426401
2023-09-02T16:00:00Z,110.264,101.013,20.92,998.0394328888561,1.153342971999999,1.9555252259036329
2023-09-02T16:15:00Z,110.232,100.996,20.96,998.0307898864738,1.1518133920000004,1.942358278250089
2023-09-02T16:30:00Z,110.214,100.963,21,998.0221303847314,1.1533429720000004,1.9555252259036446
2023-09-02T16:45:00Z,110.192,100.944,21.06,998.0091102258718,1.153037055999999,1.9528861154909996
2023-09-02T17:00:00Z,110.16,100.921,21.08,998.0047619381104,1.152119307999999,1.944985951590104
2023-09-02T17:15:00Z,110.128,100.904,21.1,998.0004095357975,1.1505897280000004,1.9318760955528966
2023-09-02T17:30:00Z,110.098,100.873,21.12,997.9960530206425,1.1506916999999994,1.9327478706839984
2023-09-02T17:45:00Z,110.109,100.873,21.14,997.9916923943533,1.1518133919999989,1.9423582782500757
2023-09-02T18:00:00Z,110.088,100.873,21.18,997.9829588151956,1.1496719799999988,1.924044329230816
2023-09-02T18:15:00Z,110.059,100.836,21.2,997.9785858657352,1.1504877559999998,1.9310046364271367
2023-09-02T18:30:00Z,110.026,100.818,21.22,997.9742088119563,1.1489581759999998,1.9179706113651351
2023-09-02T18:45:00Z,110.005,100.76,21.22,997.9742088119563,1.1527311399999989,1.9502498678655964
2023-09-02T19:00:00Z,109.962,100.758,21.22,997.9742088119563,1.1485502880000007,1.9145068390349096
2023-09-02T19:15:00Z,109.951,100.738,21.24,997.9698276555592,1.1494680359999994,1.9223074064302677
2023-09-02T19:30:00Z,109.908,100.705,21.24,997.9698276555592,1.1484483160000003,1.9136416818613096
2023-09-02T19:45:00Z,109.908,100.685,21.26,997.9654423982427,1.1504877559999998,1.9310046364271367
2023-09-02T20:00:00Z,109.865,100.66,21.26,997.9654423982427,1.1486522599999998,1.9153723104858258
2023-09-02T20:15:00Z,109.865,100.646,21.26,997.9654423982427,1.1500798679999993,1.9275219582468368
2023-09-02T20:30:00Z,109.854,100.649,21.28,997.9610530417037,1.1486522599999998,1.9153723104858258
2023-09-02T20:45:00Z,109.844,100.641,21.28,997.9610530417037,1.1484483159999987,1.9136416818612965
2023-09-02T21:00:00Z,109.833,100.63,21.28,997.9610530417037,1.1484483160000003,1.9136416818613096
2023-09-02T21:15:00Z,109.822,100.606,21.28,997.9610530417037,1.1497739520000008,1.9249132634283288
2023-09-02T21:30:00Z,109.779,100.588,21.3,997.9566595876379,1.1472246520000002,1.9032842780368082
2023-09-02T21:45:00Z,109.782,100.593,21.3,997.9566595876379,1.1470207079999992,1.9015624322888398
2023-09-02T22:00:00Z,109.761,100.598,21.3,997.9566595876379,1.1443694359999996,1.879292114158915
2023-09-02T22:15:00Z,109.782,100.59,21.32,997.9522620377394,1.1473266239999993,1.904145670604083
2023-09-02T22:30:00Z,109.771,100.595,21.32,997.9522620377394,1.145695072,1.8904009202877619
2023-09-02T22:45:00Z,109.75,100.576,21.34,997.9478603937008,1.1454911280000006,1.888688447349498
2023-09-02T23:00:00Z,109.771,100.572,21.34,997.9478603937008,1.1480404279999998,1.9101841942157674
2023-09-02T23:15:00Z,109.761,100.577,21.34,997.9478603937008,1.1465108479999997,1.8972632936607527
2023-09-02T23:30:00Z,109.771,100.578,21.36,997.943454657213,1.1474285959999997,1.9050073764149538
2023-09-02T23:45:00Z,109.771,100.564,21.36,997.943454657213,1.1488562040000008,1.9171041965646778
2023-09-03T00:00:00Z,109.75,100.585,21.36,997.943454657213,1.1445733800000006,1.8809977382419099
2023-09-03T00:15:00Z,109.75,100.57,21.38,997.9390448299658,1.1461029600000006,1.8938296092769427
2023-09-03T00:30:00Z,109.739,100.575,21.38,997.9390448299658,1.144471408,1.880144770780177
2023-09-03T00:45:00Z,109.753,100.59,21.4,997.9346309136472,1.1443694359999996,1.879292114158915
2023-09-03T01:00:00Z,109.742,100.586,21.4,997.9346309136472,1.1436556320000006,1.8733322141553497
2023-09-03T01:15:00Z,109.742,100.595,21.42,997.9302129099436,1.1427378840000004,1.86569181272655
2023-09-03T01:30:00Z,109.753,100.61,21.42,997.9302129099436,1.142329996,1.8623041265338942
2023-09-03T01:45:00Z,109.753,100.618,21.42,997.9302129099436,1.1415142200000006,1.8555435829187237
2023-09-03T02:00:00Z,109.753,100.637,21.48,997.916934391366,1.139576752,1.839566307398089
2023-09-03T02:15:00Z,109.764,100.616,21.48,997.916934391366,1.1428398559999995,1.866539507530258
2023-09-03T02:30:00Z,109.746,100.619,21.48,997.916934391366,1.1406984439999994,1.8488027746501539
2023-09-03T02:45:00Z,109.746,100.608,21.5,997.912500054958,1.141820135999999,1.8580764716967844
2023-09-03T03:00:00Z,109.767,100.611,21.5,997.912500054958,1.143655631999999,1.8733322141553366
2023-09-03T03:15:00Z,109.756,100.623,21.52,997.9080616395751,1.1413102759999996,1.8538565323654772
2023-09-03T03:30:00Z,109.746,100.616,21.54,997.9036191468948,1.1410043599999995,1.851328267781347
2023-09-03T03:45:00Z,109.724,100.599,21.54,997.9036191468948,1.1404945,1.8471206511248934
2023-09-03T04:00:00Z,109.724,100.582,21.56,997.8991725785934,1.142228024000001,1.8614579778147946
2023-09-03T04:15:00Z,109.717,100.595,21.62,997.8858084366992,1.140188584,1.8445997719803455
2023-09-03T04:30:00Z,109.727,100.607,21.7,997.8679326235605,1.1399846400000004,1.8429207223217141
2023-09-03T04:45:00Z,109.72,100.594,21.8,997.8454964685553,1.1405964720000004,1.8479615590879848
2023-09-03T05:00:00Z,109.701,100.577,21.84,997.8364936171675,1.1403925279999996,1.8462800506759012
2023-09-03T05:15:00Z,109.712,100.583,21.82,997.8409970690179,1.1409023880000004,1.8504861289118177
2023-09-03T05:30:00Z,109.712,100.586,21.78,997.8499918141243,1.1405964720000004,1.8479615590879848
2023-09-03T05:45:00Z,109.72,100.573,21.76,997.8544831040683,1.1427378840000004,1.86569181272655
2023-09-03T06:00:00Z,109.698,100.559,21.72,997.8634535104468,1.1419221079999995,1.8589213850829769
2023-09-03T06:15:00Z,109.688,100.536,21.68,997.8724076744073,1.143247744,1.869933382327511
2023-09-03T06:30:00Z,109.674,100.533,21.64,997.8813455826431,1.1421260520000005,1.860612138056763
2023-09-03T06:45:00Z,109.674,100.539,21.6,997.8902672218233,1.1415142200000006,1.8555435829187237
2023-09-03T07:00:00Z,109.66,100.535,21.56,997.8991725785934,1.1404945,1.8471206511248934
2023-09-03T07:15:00Z,109.649,100.512,21.52,997.9080616395751,1.141718164,1.8572318669308028
2023-09-03T07:30:00Z,109.627,100.509,21.5,997.912500054958,1.1397806959999994,1.8412429010206497
2023-09-03T07:45:00Z,109.624,100.505,21.46,997.9213646471202,1.139882668,1.842081658168934
2023-09-03T08:00:00Z,109.635,100.492,21.42,997.9302129099436,1.142329996,1.8623041265338942
2023-09-03T08:15:00Z,109.621,100.488,21.38,997.9390448299658,1.1413102759999996,1.8538565323654772
2023-09-03T08:30:00Z,109.621,100.485,21.34,997.9478603937008,1.1416161919999994,1.856387570699828
2023-09-03T08:45:00Z,109.632,100.501,21.3,997.9566595876379,1.141106332,1.8521707145900919
2023-09-03T09:00:00Z,109.639,100.516,21.26,997.9654423982427,1.140290555999999,1.8454397576560329
2023-09-03T09:15:00Z,109.65,100.503,21.22,997.9742088119563,1.1427378840000004,1.86569181272655
2023-09-03T09:30:00Z,109.658,100.509,21.18,997.9829588151956,1.142941828,1.8673875118068544
2023-09-03T09:45:00Z,109.658,100.525,21.14,997.9916923943533,1.1413102759999996,1.8538565323654772
2023-09-03T10:00:00Z,109.69,100.535,21.1,998.0004095357975,1.14355366,1.8724820411777894
